SensorName,Date-Time(Wave),Name(Wave),Speed(Wave),Launch(Wave),Dir(Wave),BS(Wave),SS(Wave),TS(Wave),SA(Wave),Carry(Wave),Total(Wave),HeadSpeed(Wave),AA(Wave),CP(Wave),SP(Wave),SD(Wave),ML1_SP(Wave),ML1_LA(Wave),ML1_DA(Wave),ML1_BS(Wave),ML1_SS(Wave),ML1_SR(Wave),ML1_SA(Wave),RCT_MEA(Wave),RCT_MEA_AI(Wave),,SensorName,Date-Time(GCQ),ForesightSports:PLAYER1-2025-01-21¿ÀÈÄ5:0Club(GCQ),Ball(GCQ),BallSpeed(GCQ),LaunchAngle(GCQ),SideAngle(GCQ),Backspin(GCQ),Sidespin(GCQ),TiltAngle(GCQ),TotalSpin(GCQ),Carry(GCQ),Total(GCQ),Offline(GCQ),DescentAngle(GCQ),PeakHeight(GCQ),ClubSpeed(GCQ),Efficiency(GCQ),AngleofAttack(GCQ),ClubPath(GCQ),FacetoPath(GCQ),Lie(GCQ),Loft(GCQ),ClosureRate(GCQ),FaceImpactLateral(GCQ),FaceImpactVertical(GCQ),,SensorName,Date-Time(TM4),Date(TM4),TMDNo(TM4),TMDFilename(TM4),Player(TM4),Club(TM4),Ball(TM4),ClubSpeed(TM4),AttackAngle(TM4),ClubPath(TM4),LowPoint(TM4),SwingPlane(TM4),SwingDirection(TM4),Dyn.Loft(TM4),FaceAngle(TM4),FaceToPath(TM4),BallSpeed(TM4),SmashFactor(TM4),LaunchAngle(TM4),LaunchDirection(TM4),SpinRate(TM4),SpinRateType(TM4),SpinAxis(TM4),MaxHeight-Dist.(TM4),MaxHeight-Height(TM4),MaxHeight-Side(TM4),LastdataPoint-Length(TM4),LastdataPoint-Side(TM4),LastdataPoint-Height(TM4),LastdataPoint-Time(TM4),CarryFlat-Length(TM4),CarryFlat-Side(TM4),CarryFlat-Land.Angle(TM4),CarryFlat-BallSpeed(TM4),CarryFlat-Time(TM4),Est.TotalFlat-Length(TM4),Est.TotalFlat-Side(TM4),DynamicLie(TM4),ImpactOffset(TM4),ImpactHeight(TM4),Curve(TM4),SpinAxis(Sim)(TM4),Curve(Sim)(TM4),Carry(Sim)(TM4),Total(Sim)(TM4),CarrySide(Sim)(TM4),Totalside(Sim)(TM4),LandingAngle(Sim)(TM4),UseInStat(TM4),Tags(TM4),Condition(TM4),Email(TM4),,SensorName,ShotID(Max),BallSpd.(Max),LaunchAngle(Max),LaunchDirection(Max),BackSpin(Max),SideSpin(Max),Totalspin(Max),SpinAxis(Max),HeadSpd.(Max),ClubPath(Max),FaceAngle(Max),AttackAngle(Max),DynamicLoft(Max),ImpactPoint(H)(Max),ImpactPoint(V)(Max),LowPoint(Max),SwingPlane(Max),SwingDirection(Max),ClubLie(Max),ClosureRate(Max),Faxis(Max),T/Hdiff.(Max),E(Max),Tag(Max),Time(Max),,SensorName,Date-Time(GRadar),Name(GRadar),Speed(GRadar),Launch(GRadar),Dir(GRadar),BS(GRadar),SS(GRadar),TS(GRadar),SA(GRadar),Carry(GRadar),Total(GRadar),HeadSpeed(GRadar),AA(GRadar),CP(GRadar),SP(GRadar),SD(GRadar),ML1_SP(GRadar),ML1_LA(GRadar),ML1_DA(GRadar),ML1_BS(GRadar),ML1_SS(GRadar),ML1_SR(GRadar),ML1_SA(GRadar),RCT_MEA(GRadar),RCT_MEA_AI(GRadar),,
Wave,20250121_133409, SI_2025.01.21_13.34.09_003, 21.82, 28.82, 1.40, 4293.4, 108.5, 4294.7, 1.4, 39.6, 47.3, 20.7, -100.0, -100.0, -100.0, -100.0, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 0, 0, , GCQ,20250121_133354, Iron,  Standard,  22.4,  32.2,  0.6,  2505,  -316,  -7.2,  2525,  43.4,  52.2,  -0.4,  38.5,  8.0,  21.4,  1.05,  -7.0,  8.4,  -8.4,  -4.9,  39.1,  1220.7,  -20,  -17.9, , TM4,20250121_133354, 2025-01-21 PM 1:33:54, , , Unknown Player, 7 Iron, Premium, 20.841, -3.8000000000000003, 9.4, 6.6000000000000005, 75.86, 8.265999999999998, 36.096, -1.491, -10.891000000000002, 22.0589, 1.0584, 31.192000000000004, 0.198, 2497.22, Measured, 14.475, 22.619993209838867, 6.918289258332604, 0.4175919179599179, 41.55040621343021, 1.2070904338710806, -0.13878618970027315, 2.494892, 41.35777145272835, 1.1975500630928015, 35.6264322402829, 18.456443786621094, 2.482043, 55.61271828281688, 1.901686879031589, 64.62662427076337, 16.146589879539768, -16.86724634719228, 1.055, , , , , , , , TRUE, , , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,, , , , , , , , , , , , , , , , , , , , , , , , , , GCQ,20250121_133512, Iron,  Standard,  30.7,  34.5,  0.0,  2632,  -114,  -2.5,  2634,  76.2,  86.3,  -0.9,  45.8,  17.6,  30.1,  1.02,  -8.2,  6.0,  -7.6,  -4.1,  41.3,  1986.9,  -7,  -26.9, , TM4,20250121_133512, 2025-01-21 PM 1:35:12, , , Unknown Player, 7 Iron, Premium, 28.893, -4.999999999999999, 7.2, 9.299999999999999, 68.165, 4.991, 37.242, -1.087, -8.287, 30.1641, 1.044, 33.41700000000001, -0.112, 2616.7, Measured, 6.577000000000001, 43.898895263671875, 16.583148594667367, -0.18312115651830999, 74.15679863448699, -0.3302878908353566, -0.6898637493450004, 4.099705, 73.49777250745339, -0.32777318362831936, 46.024989961751096, 21.166406631469727, 4.054812, 84.56634990979231, -0.3698960584410107, 64.0596959661157, 4.94613013042536, -24.039427070688795, -0.184, , , , , , , , TRUE, , , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,20250121_133510, SD_2025.01.21_13.35.10_000, 30.54, 33.49, 0.43, 7780.9, 43.0, 7781.0, 0.3, 72.0, 75.2, 33.0, 98765.0, 98765.0, 98765.0, 98765.0, 30.69, 33.52, -2.91, 5937.4, -797.9, 5953.7, -7.7, 0, 0, , 
Wave,20250121_133528, SI_2025.01.21_13.35.28_007, 30.13, 32.32, -0.33, 6029.3, -489.5, 6049.1, -4.6, 70.0, 74.6, 30.3, -3.7, 2.5, 61.3, 0.6, 31.09, 33.54, -1.92, 7297.2, -166.0, 7273.5, -1.4, 0, 0, , GCQ,, , , , , , , , , , , , , , , , , , , , , , , , , , TM4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250121_133650, SP_2025.01.21_13.36.50_008, 25.55, 33.10, 3.74, 5578.2, 132.2, 5579.8, 1.4, 53.5, 58.0, 19.7, -100.0, -100.0, -100.0, -100.0, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 0, 0, , GCQ,20250121_133634, Wedge,  Standard,  25.9,  35.8,  4.5,  2422,  -366,  -8.6,  2449,  57.5,  65.4,  3.4,  44.3,  12.9,  24.9,  1.04,  -6.7,  8.9,  -7.1,  -1.3,  46.1,  1299.8,  -19,  -11.9, , TM4,20250121_133634, 2025-01-21 PM 1:36:34, , , Unknown Player, Sand Wedge, Premium, 23.179, -2.6, 11, 4.8, 77.474, 10.5, 38.974999999999994, 4.045, -6.955, 25.546, 1.1021, 34.720000000000006, 4.997999999999999, 2451.47, Measured, 16.127000000000002, 31.48221206665039, 11.552554944451467, 3.2777444889786036, 54.120531233529974, 7.076400664877592, 0.806121007935357, 3.22375, 55.02116718978392, 7.223197734046291, 42.31806448567292, 19.907272338867188, 3.284957, 67.39172088179954, 9.234491223483829, 64.16465449651217, 10.006987159011315, -11.923836192490375, 2.444, , , , , , , , TRUE, , , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250121_133703, SP_2025.01.21_13.37.03_009, 22.64, 31.37, 2.11, 4696.7, 73.2, 4697.2, 0.9, 43.2, 49.7, 19.7, -100.0, -100.0, -100.0, -100.0, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 0, 0, , GCQ,20250121_133647, Wedge,  Standard,  22.9,  34.1,  2.9,  1918,  -679,  -19.5,  2035,  46.1,  53.5,  0.3,  40.4,  9.1,  20.4,  1.13,  2.4,  10.7,  -10.5,  8.8,  37.4,  5450.2,  -20,  -14.1, , TM4,20250121_133647, 2025-01-21 PM 1:36:47, , , Unknown Player, Sand Wedge, Premium, 22.647, -1.4, 12.999999999999998, 2.6999999999999997, 84.407, 12.909000000000002, 37.512, 0.9699999999999999, -12.03, 22.717, 1.0031, 33.75, 2.496, 1997.9999999999998, Measured, -0, 23.58584213256836, 7.858458217796633, 1.1969151793054225, 42.88578289971242, 2.5765738953790462, -0.2105814396348091, 2.591378, 42.624178400428214, 2.5584435089046385, 38.63264939696409, 18.828947067260742, 2.573577, 56.56596177570342, 3.5239561385840537, 68.79141710682474, 15.857806336275981, 7.4986017212326725, 0.703, , , , , , , , TRUE, , , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,, , , , , , , , , , , , , , , , , , , , , , , , , , 
Wave,20250121_133715, SP_2025.01.21_13.37.15_010, 26.09, 34.89, 5.79, 5839.3, 182.3, 5842.2, 1.8, 55.4, 59.0, 24.3, -100.0, -100.0, -100.0, -100.0, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 0, 0, , GCQ,20250121_133700, Wedge,  Standard,  27.3,  37.1,  6.5,  2854,  -69,  -1.4,  2855,  62.0,  70.0,  7.6,  46.8,  15.2,  27.7,  0.99,  -6.6,  8.7,  -1.5,  -3.1,  42.7,  1450.7,  -23,  -10.0, , TM4,20250121_133700, 2025-01-21 PM 1:37:00, , , Unknown Player, Sand Wedge, Premium, 25.004, -3, 10.4, 5.5, 74.49, 9.651, 40.869, 6.038, -4.362, 26.736, 1.0693, 36.12199999999999, 6.688999999999998, 2833.08, Measured, 19.800000000000004, 35.22381591796875, 13.484902617738435, 4.312743977087452, 61.43419506341048, 8.812379696828422, -0.417691529276717, 3.551609, 61.00944587015581, 8.741304778031282, 44.289201371441436, 20.759746551513672, 3.522993, 72.38159914789149, 10.641516836502035, 66.4743630508302, 12.94618406613032, -10.61066345332962, 1.648, , , , , , , , TRUE, , , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,20250121_133716, SD_2025.01.21_13.37.16_002, 30.91, 32.15, 2.40, 7898.4, 858.0, 7944.9, 6.2, 76.6, 80.2, 31.4, 98765.0, 98765.0, 98765.0, 98765.0, 30.88, 32.94, -1.61, 4659.9, -592.7, 4702.7, -8.1, 0, 0, , 
Wave,20250121_133734, SP_2025.01.21_13.37.34_011, 31.16, 31.62, 0.74, 5760.0, -801.2, 5815.4, -7.9, 74.0, 79.1, 28.3, -4.4, 5.9, 66.0, 4.8, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 0, 0, , GCQ,20250121_133719, Wedge,  Standard,  31.4,  34.0,  1.8,  3249,  -45,  -0.8,  3249,  77.7,  86.5,  2.4,  46.6,  18.3,  29.2,  1.07,  -8.2,  6.8,  -5.8,  -4.0,  40.3,  1751.7,  -10,  -16.0, , TM4,20250121_133719, 2025-01-21 PM 1:37:19, , , Unknown Player, Sand Wedge, Premium, 27.904, -4.400000000000001, 8.800000000000002, 8.6, 73.958, 7.518, 38.132, -0.555, -9.355, 31.0489, 1.1127, 33.562000000000005, 0.766, 3234.54, Measured, 20.025, 46.56316375732422, 17.38633965606533, 1.686583419508515, 80.16324132646218, 4.801037695504664, -1.579165445342625, 4.287148, 78.60483531941763, 4.631588468418615, 44.757137989931046, 21.922229766845703, 4.186755, 89.85321207483071, 5.838425812367717, 67.58451187050585, 8.419937215080813, -9.323045427540348, 3.583, , , , , , , , TRUE, , , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,20250121_133735, SD_2025.01.21_13.37.35_003, 31.82, 34.97, 4.29, 7192.8, 1928.0, 7446.8, 15.0, 67.8, 70.6, 31.4, 98765.0, 98765.0, 98765.0, 98765.0, 31.28, 31.33, 2.44, 4793.9, -45.4, 4777.0, -1.2, 0, 0, , 
Wave,20250121_133753, SP_2025.01.21_13.37.53_012, 31.45, 33.37, 2.75, 4370.5, 273.9, 4379.1, 3.6, 77.2, 83.3, 22.8, 3.2, 0.6, 60.5, 10.1, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 0, 0, , GCQ,20250121_133738, Wedge,  Standard,  31.9,  36.1,  3.6,  3006,  -331,  -6.3,  3024,  79.9,  88.0,  3.0,  48.7,  20.5,  29.9,  1.07,  -6.8,  9.3,  -6.1,  -3.0,  41.6,  1435.9,  0,  -18.4, , TM4,20250121_133738, 2025-01-21 PM 1:37:38, , , Unknown Player, Sand Wedge, Premium, 28.789, -3.8000000000000003, 10.4, 7.6, 70.50700000000002, 9.091999999999999, 39.23, 1.15, -9.25, 31.8525, 1.1064, 35.163, 2.3319999999999994, 2951.9, Measured, 20.859, 41.7491340637207, 16.451817116698134, 3.6535726706766103, 69.3699820215499, 8.434401647917792, -1.7591339466914113, 3.949458, 67.91686421440316, 8.1642071367848, 49.65391416142994, 20.56235694885254, 3.839637, 76.50166424641563, 9.73914617790391, 66.17608735854675, -2.9945427722299915, -10.205437720931695, 5.414, , , , , , , , TRUE, , , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,20250121_133754, SD_2025.01.21_13.37.54_004, 31.76, 33.72, 1.17, 8126.8, 1834.0, 8331.1, 12.7, 75.6, 78.9, 33.0, 98765.0, 98765.0, 98765.0, 98765.0, 32.07, 33.31, -1.51, 5520.4, -495.4, 5470.7, -5.4, 0, 0, , 
Wave,20250121_133812, SP_2025.01.21_13.38.12_013, 31.61, 33.71, -0.41, 6215.2, -1102.6, 6312.2, -10.1, 74.8, 78.9, 30.4, -7.0, 6.8, 60.2, 3.6, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 0, 0, , GCQ,20250121_133757, Wedge,  Standard,  31.9,  35.1,  0.9,  2194,  -300,  -7.8,  2214,  82.4,  91.9,  -1.6,  46.5,  19.5,  31.1,  1.03,  -7.8,  8.1,  -9.2,  -2.1,  42.0,  1979.9,  4,  -27.5, , TM4,20250121_133757, 2025-01-21 PM 1:37:57, , , Unknown Player, Sand Wedge, Premium, 29.873, -4.400000000000001, 8.4, 9, 67.508, 6.673, 37.65, -0.030999999999999996, -8.431, 31.612, 1.0582, 34.629000000000005, 0.7850000000000001, 2171.39, Measured, 19.251000000000005, 45.393306732177734, 17.214452061352322, 1.1801529197202316, 76.98891004867095, 3.312429990638794, 0.579346046392337, 3.867462, 77.5881308971925, 3.3522001093413403, 44.218103280895996, 23.37510108947754, 3.903252, 91.4166814897966, 4.269593250551339, 65.44839795876766, -5.152906916198549, -7.470435463079599, 2.29, , , , , , , , TRUE, , , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,20250121_133813, SD_2025.01.21_13.38.13_005, 33.50, 34.40, 1.92, 6278.0, 178.0, 6280.5, 1.6, 82.8, 86.2, 33.0, 98765.0, 98765.0, 98765.0, 98765.0, 32.73, 31.51, -1.25, 4768.3, -519.3, 4765.8, -6.4, 0, 0, , 
Wave,20250121_133831, SP_2025.01.21_13.38.31_014, 32.74, 33.42, 0.31, 6514.8, -1346.1, 6652.4, -11.7, 78.5, 82.4, 31.9, -3.0, 7.6, 61.1, 7.4, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 0, 0, , GCQ,20250121_133815, Wedge,  Standard,  33.7,  35.1,  1.4,  3473,  -426,  -7.0,  3499,  85.9,  94.5,  -1.2,  49.3,  22.2,  32.5,  1.04,  -6.5,  9.6,  -10.3,  -2.3,  43.4,  2279.8,  -3,  -12.8, , TM4,20250121_133815, 2025-01-21 PM 1:38:15, , , Unknown Player, Sand Wedge, Premium, 30.819, -3.2, 10.8, 6.2, 70.85, 9.734, 38.751, -0.49699999999999994, -11.297, 33.4184, 1.0843, 34.251, 1.1199999999999999, 3474.49, Measured, -2.3399999999999994, 51.47494125366211, 21.191835138257265, 0.5919735731075687, 84.18033865761919, 1.471864962111904, -0.8180470195933426, 4.705913, 83.45738312152288, 1.4438694931836884, 48.3248283901079, 22.167221069335938, 4.656881, 92.75176271541308, 1.7998158914844962, 65.71444896721509, 1.9638023043238098, -7.6337834826487905, -0.187, , , , , , , , TRUE, , , , , Max,, , , , , , , , , , , , , , , , , , , , , , , , , , GRadar,20250121_133829, SD_2025.01.21_13.38.29_006, 31.86, 33.50, 4.25, 7268.9, 863.0, 7319.9, 6.8, 76.9, 80.3, 33.0, 98765.0, 98765.0, 98765.0, 98765.0, 31.91, 34.97, 2.01, 7762.6, 212.4, 7789.9, 1.1, 0, 0, , 
